 ,GP,W,D,L,GF,GA,GD,Pts,PPG,last 8,CS,FTS
 Palmeiras,34,18,8,8,56,30,26,62,1.82,2.25,41%,24%
 Botafogo,33,18,6,9,53,30,23,60,1.82,1.00,42%,21%
 Bragantino,33,16,11,6,46,29,17,59,1.79,1.75,48%,21%
 Gremio,34,18,5,11,57,50,7,59,1.74,1.88,21%,24%
 Atletico MG,34,16,9,9,43,27,16,57,1.68,2.13,38%,21%
 Flamengo,33,16,9,8,50,37,13,57,1.73,1.75,39%,18%
 Athletico PR,34,13,12,9,47,39,8,51,1.50,1.25,24%,18%
 Fluminense,33,13,8,12,43,42,1,47,1.42,0.75,30%,33%
 Cuiaba,34,13,8,13,36,35,1,47,1.38,1.75,32%,38%
 Sao Paulo,33,12,10,11,37,35,2,46,1.39,1.50,36%,33%
 Corinthians,34,10,14,10,39,39,0,44,1.29,1.63,26%,24%
 Fortaleza,32,12,7,13,36,37,-1,43,1.34,0.63,28%,38%
 Internacional,34,11,10,13,38,43,-5,43,1.26,1.38,26%,41%
 Santos,34,11,9,14,37,55,-18,42,1.24,1.50,24%,41%
 Vasco da Gama,33,11,7,15,35,43,-8,40,1.21,1.75,24%,30%
 Bahia,34,10,8,16,39,47,-8,38,1.12,1.25,26%,38%
 Cruzeiro,32,9,10,13,29,28,1,37,1.16,1.00,41%,50%
 Goias,34,8,11,15,34,49,-15,35,1.03,1.00,26%,35%
 Coritiba,34,8,5,21,39,67,-28,29,0.85,1.13,18%,26%
 America MG,34,4,9,21,39,71,-32,21,0.62,0.38,6%,24%
